"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
561.2,425.25,0.03,135.95,41.15,384.09,32.7,48.69,2.33,6.53,23.25,9.04,0.01,281.32,102.77,0.19,0.16,21.3,11.4,54.14,0.39,49.46,0.77
568.84,426.45,0.06,142.39,43.73,382.72,20.24,52.17,2.33,4.7,26.08,10.62,0,281.21,101.51,0.2,0.14,13.45,6.79,69.44,0.48,53.2,1.03
564.55,437.18,0.1,127.37,55.57,381.61,22.85,52.5,2.28,6.14,34.68,12.47,0,281.48,100.13,0.19,0.09,15.22,7.63,51.18,0.74,54.02,1.52
567.37,446.96,0.02,120.41,63.5,383.46,26.97,59.01,2.31,10.44,37.72,13.03,0,290.29,93.17,0.15,0.13,17.02,9.95,33.72,0.69,59.3,0.29
537.51,446.21,0.06,91.3,54.84,391.37,26.59,51.28,2.32,8.86,29.34,14.32,0,297.65,93.72,0.17,0.11,16.68,9.91,13.03,0.34,51.65,0.37
534.67,445.03,0.05,89.64,57.8,387.22,21.59,53.6,2.25,11.59,30.07,13.89,0.01,293.8,93.42,0.21,0.16,13.27,8.32,13.68,0.72,54.38,0.78
585.8,465.75,0.05,120.05,65.09,400.36,29.26,56.89,2.29,14.79,32.09,15.92,0.3,307.46,92.9,0.16,0.11,18.2,11.06,33.2,0.65,58,1.11
595.02,472.07,0,122.95,63.96,408.07,26.32,51.92,2.28,11.36,31.26,19.06,0.04,314.91,93.16,0.17,0.17,16.42,9.9,44.28,0.43,53.53,1.61
606.11,496.23,0,109.88,89.95,406.21,31.77,65.23,2.18,26.24,34.99,26.54,0.07,317.88,88.33,0.21,0.21,19.85,11.92,12.07,0.81,67.68,2.45
621.56,508.92,0.14,112.64,84.66,424.26,23.47,76.25,2.2,21.06,34.4,27,0,331.13,93.13,0.24,0.1,12.91,10.56,11.83,0.95,77.51,1.26
620.79,501.68,0.06,119.11,71.31,430.35,31.6,67.96,2.2,16.6,28.43,24.08,0.02,333.06,97.29,0.19,0.13,19.86,11.74,18.64,0.85,69.36,1.4
587.16,477.84,-0.00999999999999998,109.32,51.79,426.04,32.41,55.36,2.2,11.75,24.9,12.94,0.01,323.75,102.29,0.17,0.18,19.46,12.95,20.63,0.93,56.68,1.32
584.27,476.28,0.07,107.99,53.92,422.35,30.66,57.75,2.21,7.69,28.22,15.8,0.01,320.64,101.71,0.15,0.08,18.25,12.41,18.58,0.93,58.23,0.48
632.8,489.89,0.04,142.91,61.75,428.13,28.69,66.12,2.22,9.55,33.64,16.34,0.01,325.74,102.39,0.18,0.14,17.68,11.01,47.15,0.91,67.47,1.35
618.96,498.83,0.07,120.13,65.41,433.41,27.56,60.36,2.2,13.75,30.19,19.27,0.01,330.72,102.69,0.22,0.15,16.95,10.61,31.23,0.91,61.54,1.18
593.36,477.47,0.07,115.89,48.4,428.33,26.16,52.41,0,9.03,29.83,9.54,0.74,326.11,102.22,0.2,0.13,15.16,11,37.25,0,53.43,1.02
590.7,442.98,0.06,147.72,31.65,410.95,30.78,34.8,2.18,2.63,22.98,3.86,0.38,308.45,102.5,0.25,0.19,19.32,11.46,81.43,0.65,37.2,2.4
573.34,431.36,0.09,141.98,25.93,404.92,28.41,31.14,2.22,0.34,19.41,3.96,0.51,302.32,102.6,0.18,0.09,19.04,9.37,81.51,0.83,33.98,2.84
543.59,403.31,-0.02,140.28,17.8,385.51,22.23,28.33,2.29,0.98,11.89,2.64,0,284.5,101.01,0.12,0.14,13.41,8.82,88.36,1.38,29.4,1.07
539.22,400.34,0.07,138.88,21.81,378.51,31,29.25,2.31,0.98,14.06,4.46,0.02,277.39,101.12,0.19,0.12,18.75,12.25,77.08,1.48,32.35,3.1
597.68,451.63,0.06,146.05,36.29,415.3,27.13,40.1,2.22,6.14,21.17,6.76,0.04,314.52,100.78,0.19,0.13,17.29,9.84,77.41,1.35,40.93,0.83
583.77,480.26,0.07,103.51,56.15,423.74,27.97,45.29,0,14.57,23.9,17.68,0.37,322.06,101.68,0.21,0.14,16.99,10.98,30.18,0,46.43,1.14
592.46,487.67,0.03,104.79,60.98,426.6,27.6,50.77,2.23,18.09,25.51,15.15,0.09,324.27,102.33,0.12,0.09,16.39,11.21,25.64,0.75,51.81,1.04
588.9,465.14,0.05,123.76,48.98,415.45,25.35,45.96,2.24,12.76,24.99,8.99,0.71,313.95,101.5,0.19,0.14,15.6,9.75,52.19,0.21,46.5,0.54
580.83,452.48,0.07,128.35,46.15,406.12,23.91,43.16,2.28,6.79,31.48,5.6,0.21,303.53,102.59,0.18,0.11,15.2,8.71,60.68,0.53,44.12,0.96
535.24,408.34,0.03,126.9,29.39,378.95,24.99,33.54,2.28,2.32,22.17,2.62,0,280.16,98.79,0.16,0.13,15.79,9.2,67.87,0.47,35.1,1.56
526.7,422.83,0.05,103.87,44.82,378.01,20.64,39.06,2.29,6.62,29.07,6.84,0,289.48,88.53,0.18,0.13,14.57,6.07,43.75,0.37,42.6,3.54
571.99,470.51,0.02,101.48,69.47,401.03,21.64,51.74,2.33,13.01,40.27,13.86,0.01,311.5,89.53,0.19,0.17,13.99,7.65,28.08,0,52.27,0.53
583.69,460.91,0.07,122.78,70.91,390,29.79,56.15,2.32,16.84,38.63,13.12,0,300.6,89.4,0.2,0.13,19.87,9.92,36.77,0,56.76,0.61
592.79,431.28,0.02,161.51,52.83,378.43,27.65,48.32,2.25,11.51,30.61,8.46,0.02,293.63,84.8,0.23,0.21,19.32,8.33,84.76,0.76,49.66,1.34
593.47,419.05,0.03,174.42,49.91,369.14,27.11,46.99,2.34,9.96,25.17,12.44,0,295.28,73.86,0.22,0.19,18.04,9.07,99.14,1.15,48.89,1.9
584.76,411.3,0.08,173.46,49.79,361.49,28.72,48.52,2.25,9.39,28.15,10,0.02,289.5,71.99,0.21,0.13,18.1,10.62,94.95,1.19,50.47,1.95
563.93,401.47,0.05,162.46,42.03,359.41,32.02,43.05,2.31,8.81,21.77,9.14,0.03,275.09,84.32,0.19,0.14,20.59,11.43,86.34,1,46.76,3.71
569.37,405.81,0.03,163.56,37.61,368.17,30.7,44.76,2.33,6.29,21.68,7.31,0.03,283.42,84.75,0.15,0.12,18.77,11.93,86.87,1.2,48.18,3.42
